Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,LOGICA (1027) & MECANICA NEWTONIANA (1122) & ADMINISTRACION DE OPERACIONES (1915) & ADMINISTRACION GENERAL PARA INGENIEROS (1944) & INSTRUMENTACION INDUSTRIAL (2706) & INGENIERIA DE LAS REACCIONES QUIMICAS 1 (Q69),GEOMETRIA Y ALGEBRA LINEAL 1 (1030) & METALURGIA DE TRANSFORMACION (1724) & CALIDAD DE AGUAS (1854) & GESTION DE CALIDAD (1954) & REDES DE DATOS 2 (5855) & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES (5866),
Día 2,,,
Día 3,PROGRAMACION 1 (1322) & SEÑALES Y SISTEMAS (1457) & MECANICA ESTRUCTURAL (2381) & SUBESTACIONES EN MEDIA TENSION (5514),TRANSFERENCIA DE CALOR 2 (1824) & TECNOLOGIA DEL HORMIGON (2371),FISICA 3 (1153)
Día 4,GEOMETRIA Y ALGEBRA LINEAL 2 (1031),DISEÑO DE PROCESOS QUIMICOS (Q196) & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS (Q56),INT. AL CONTROL INDUSTRIAL (2707) & INGENIERIA BIOQUIMICA (Q81)
Día 5,,,
Día 6,,REDES ELECTRICAS (5508),ELECTROTECNICA I (2108)
Día 7,,FUNCIONES DE VARIABLE COMPLEJA (1066),"PROBABILIDAD Y ESTADISTICA (1025) & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062) & INT. A LA INVESTIGACION DE OPERACIONES (1610) & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION (5707)"
Día 8,CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061) & INT. A LA MECANICA DE SUELOS (2207),MEDIDAS ELECTRICAS (1461) & COMPORTAMIENTO MECANICO DE MATERIALES 1 (1764) & ELASTICIDAD (2366) & TERMODINAMICA APL. A LA ING.DE PROCESOS (Q21),
Día 9,,,
Día 10,CALCULO VECTORIAL (1063) & ENERGIA 1- COMBUSTION (1850),FISICA 1 (1151),SISTEMAS OPERATIVOS (1537)
Día 11,PROGRAMACION 2 (1321),PATOLOGIA DE LAS ESTRUCTURAS (2389),ELECTRONICA DE POTENCIA (5609)
Día 12,ELECTRONICA AVANZADA 2 (5717),FISICA 2 (1152) & TECNOLOGIA Y SERV. INDUSTRIALES 1 (Q71),INT. A LA INGENIERIA DE SOFTWARE (1716) & ELEMENTOS DE MECANICA DE LOS FLUIDOS (1805) & HORMIGON ESTRUCTURAL 1 (2382)
Día 13,MATEMATICA DISCRETA 1 (1023) & ELEMENTOS DE MAQUINAS (1720) & ANTENAS Y PROPAGACION (5817),TEORIA DE LENGUAJES (1325) & ESTRUCTURAS DE ACERO (2393) & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS (2394) & ELECTROTECNICA (5850) & TRANSFERENCIA DE CALOR Y MASA 1 (Q74) & DINAMICA Y CONTROL DE PROCESOS (Q94),MATEMATICA DISCRETA 2 (1026) & MATERIALES Y ENSAYOS (1508) & PRINCIPIOS DE QUIMICA GENERAL (1620) & INT. A LA CIENCIA DE MATERIALES (1723) & MAQUINAS PARA FLUIDOS I (1856) & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS (Q22)
